DEBUG 2025-02-12 08:30:07,169 _opentelemetry_tracing 8 139847902726952 This service is instrumented using OpenTelemetry. OpenTelemetry or one of its components could not be imported; please add compatible versions of opentelemetry-api and opentelemetry-instrumentation packages in order to get Storage Tracing data.
INFO 2025-02-12 08:30:07,207 urls 8 139847902726952 ==================================================
INFO 2025-02-12 08:30:07,207 urls 8 139847902726952 REGISTERED URLS:
INFO 2025-02-12 08:30:07,208 urls 8 139847902726952 <URLResolver <URLPattern list> (admin:admin) 'admin/'>
INFO 2025-02-12 08:30:07,209 urls 8 139847902726952 <URLResolver <module 'play_reports.urls' from '/app/play_reports/urls.py'> (None:None) ''>
INFO 2025-02-12 08:30:07,209 urls 8 139847902726952 <URLPattern '^static/(?P<path>.*)$'>
INFO 2025-02-12 08:30:07,209 urls 8 139847902726952 <URLPattern '^media/(?P<path>.*)$'>
INFO 2025-02-12 08:30:07,210 urls 8 139847902726952 ==================================================
INFO 2025-02-12 08:30:08,837 autoreload 10 140411406859048 Watching for file changes with StatReloader
DEBUG 2025-02-12 08:30:09,073 _opentelemetry_tracing 10 140411406859048 This service is instrumented using OpenTelemetry. OpenTelemetry or one of its components could not be imported; please add compatible versions of opentelemetry-api and opentelemetry-instrumentation packages in order to get Storage Tracing data.
INFO 2025-02-12 08:30:09,094 urls 10 140411406859048 ==================================================
INFO 2025-02-12 08:30:09,095 urls 10 140411406859048 REGISTERED URLS:
INFO 2025-02-12 08:30:09,095 urls 10 140411406859048 <URLResolver <URLPattern list> (admin:admin) 'admin/'>
INFO 2025-02-12 08:30:09,096 urls 10 140411406859048 <URLResolver <module 'play_reports.urls' from '/app/play_reports/urls.py'> (None:None) ''>
INFO 2025-02-12 08:30:09,096 urls 10 140411406859048 <URLPattern '^static/(?P<path>.*)$'>
INFO 2025-02-12 08:30:09,096 urls 10 140411406859048 <URLPattern '^media/(?P<path>.*)$'>
INFO 2025-02-12 08:30:09,096 urls 10 140411406859048 ==================================================
INFO 2025-02-12 08:31:26,899 autoreload 10 140411406859048 /app/play_reports/views.py changed, reloading.
INFO 2025-02-12 08:31:27,916 autoreload 12 140546547780392 Watching for file changes with StatReloader
DEBUG 2025-02-12 08:31:28,204 _opentelemetry_tracing 12 140546547780392 This service is instrumented using OpenTelemetry. OpenTelemetry or one of its components could not be imported; please add compatible versions of opentelemetry-api and opentelemetry-instrumentation packages in order to get Storage Tracing data.
INFO 2025-02-12 08:31:28,230 urls 12 140546547780392 ==================================================
INFO 2025-02-12 08:31:28,231 urls 12 140546547780392 REGISTERED URLS:
INFO 2025-02-12 08:31:28,231 urls 12 140546547780392 <URLResolver <URLPattern list> (admin:admin) 'admin/'>
INFO 2025-02-12 08:31:28,231 urls 12 140546547780392 <URLResolver <module 'play_reports.urls' from '/app/play_reports/urls.py'> (None:None) ''>
INFO 2025-02-12 08:31:28,232 urls 12 140546547780392 <URLPattern '^static/(?P<path>.*)$'>
INFO 2025-02-12 08:31:28,233 urls 12 140546547780392 <URLPattern '^media/(?P<path>.*)$'>
INFO 2025-02-12 08:31:28,233 urls 12 140546547780392 ==================================================
DEBUG 2025-02-12 08:35:39,957 _opentelemetry_tracing 8 140535409584936 This service is instrumented using OpenTelemetry. OpenTelemetry or one of its components could not be imported; please add compatible versions of opentelemetry-api and opentelemetry-instrumentation packages in order to get Storage Tracing data.
INFO 2025-02-12 08:35:39,996 urls 8 140535409584936 ==================================================
INFO 2025-02-12 08:35:39,997 urls 8 140535409584936 REGISTERED URLS:
INFO 2025-02-12 08:35:39,998 urls 8 140535409584936 <URLResolver <URLPattern list> (admin:admin) 'admin/'>
